Timestamp,SenderId,DestinationId,InteractionType,RequestType,TransactionNumber,BodyLength,Checksum
1743748011,3,0,1,2,2,18961,60064
1743748011,0,3,1,3,2,2,64887
1743748012,3,0,0,0,3,10,64765
1743748012,0,3,2,0,3,0,64890
1743748013,3,0,0,0,4,10,64764
1743748013,0,3,2,0,4,0,64888
1743748014,3,0,0,0,5,10,64763
1743748014,0,3,2,0,5,0,64886
1743748015,3,0,0,0,6,10,64762
1743748015,0,3,2,0,6,0,64884
1743748016,3,0,0,0,7,10,64761
1743748016,0,3,2,0,7,0,64882
1743748017,3,0,0,0,8,10,64760
1743748017,0,3,2,0,8,0,64880
1743748075,3,0,1,1,1,0,64829
1743748075,0,3,2,0,1,0,64829
1743748076,3,0,1,2,2,3110,11342
1743748076,0,3,1,3,1,2,64823
1743748077,3,0,0,0,3,10,64716
1743748077,0,3,2,0,3,0,64825
1743748078,3,0,0,0,4,10,64715
1743748078,0,3,2,0,4,0,64823
1743748079,3,0,0,0,5,10,64714
1743748079,0,3,2,0,5,0,64821
1743748080,3,0,0,0,6,10,64713
1743748080,0,3,2,0,6,0,64819
1743748081,3,0,0,0,7,10,64712
1743748081,0,3,2,0,7,0,64817
1743748108,3,0,1,1,1,0,65051
1743748108,0,3,2,0,1,0,65051
1743748109,3,0,1,2,2,1686,3752
1743748242,3,0,1,1,1,0,64917
1743748242,0,3,2,0,1,0,64917
1743748243,3,0,1,2,2,23793,52349
1743748251,0,3,1,3,1,2,64903
1743748244,3,0,0,0,3,10,64799
1743748251,0,3,2,0,3,0,64906
1743748245,3,0,0,0,4,10,64798
1743748251,0,3,2,0,4,0,64905
1743748246,3,0,0,0,5,10,64797
1743748251,0,3,2,0,5,0,64904
1743748247,3,0,0,0,6,10,64796
1743748251,0,3,2,0,6,0,64903
1743748248,3,0,0,0,7,10,64795
1743748251,0,3,2,0,7,0,64902
1743748249,3,0,0,0,8,10,64794
1743748251,0,3,2,0,8,0,64901
1743748250,3,0,0,0,9,10,64793
1743748251,0,3,2,0,9,0,64900
1743748251,3,0,0,0,10,10,64792
1743748251,0,3,2,0,10,0,64899
1743748252,3,0,0,0,11,10,64791
1743748252,0,3,2,0,11,0,64897
1743748253,3,0,0,0,12,10,64790
1743748253,0,3,2,0,12,0,64895
1743748254,3,0,0,0,13,10,64789
1743748254,0,3,2,0,13,0,64893
1743748255,3,0,0,0,14,10,64788
1743748255,0,3,2,0,14,0,64891
1743748256,3,0,0,0,15,10,64787
1743748256,0,3,2,0,15,0,64889
1743748257,3,0,0,0,16,10,64786
1743748257,0,3,2,0,16,0,64887
1743748258,3,0,0,0,17,10,64785
1743748258,0,3,2,0,17,0,64885
1743748259,3,0,0,0,18,10,64784
1743748259,0,3,2,0,18,0,64883
1743748311,3,0,1,1,1,0,64848
1743748311,0,3,2,0,1,0,64848
1743748312,3,0,1,2,2,6399,5794
1743748312,0,3,1,3,1,2,64843
1743748313,3,0,0,0,3,10,64729
1743748313,0,3,2,0,3,0,64844
1743748314,3,0,0,0,4,10,64726
1743748314,0,3,2,0,4,0,64842
1743748315,3,0,0,0,5,10,64723
1743748315,0,3,2,0,5,0,64840
1743748409,3,0,1,1,1,0,65005
1743748409,0,3,2,0,1,0,65005
1743748410,3,0,1,2,2,1718,37119
1743748410,0,3,1,3,1,2,65000
1743748411,3,0,0,0,3,10,64882
1743748492,3,0,1,1,1,0,64922
1743748492,0,3,2,0,1,0,64922
1743748493,3,0,1,2,2,8260,731
1743748520,3,0,1,1,1,0,64894
1743748520,0,3,2,0,1,0,64894
1743748521,3,0,1,2,2,10666,47890
1743748521,0,3,1,3,1,2,64889
1743748522,3,0,0,0,3,10,64779
1743748525,0,3,2,0,3,0,64887
3452816845,3452816845,3452816845,205,205,3452816845,52685,52685
1743748531,3,0,1,1,1,0,64883
1743748531,0,3,2,0,1,0,64883
1743748532,3,0,1,2,2,13999,44620
1743748592,3,0,0,0,62,10,64702
1743748592,0,3,2,0,62,0,64761
1743748593,3,0,0,0,63,10,64701
1743748593,0,3,2,0,63,0,64759
1743748594,3,0,0,0,64,10,64700
1743748594,0,3,2,0,64,0,64757
1743748595,3,0,0,0,65,10,64699
1743748595,0,3,2,0,65,0,64755
1743748597,3,0,1,1,1,0,64817
1743748597,0,3,2,0,1,0,64817
1743748598,3,0,1,2,2,11876,28433
1743748694,3,0,1,1,1,0,64975
1743748694,0,3,2,0,1,0,64975
1743748695,3,0,1,2,2,18460,56200
1743748695,0,3,1,3,1,2,64969
1743748696,3,0,0,0,3,10,64864
1743748696,0,3,2,0,3,0,64971
1743748697,3,0,0,0,4,10,64863
1743748697,0,3,2,0,4,0,64969
1743748698,3,0,0,0,5,10,64862
1743748698,0,3,2,0,5,0,64967
1743748699,3,0,0,0,6,10,64861
1743748699,0,3,2,0,6,0,64965
1743748700,3,0,0,0,7,10,64860
1743748700,0,3,2,0,7,0,64963
1743748801,8,0,1,1,1,0,64863
1743748801,0,8,2,0,1,0,64863
1743748802,3,0,1,1,1,0,64867
1743748802,0,3,2,0,1,0,64867
1743748802,8,0,1,2,2,20847,16324
1743748802,0,8,1,3,1,2,64857
1743748803,3,0,1,2,2,12203,23687
1743748803,0,3,1,3,2,2,64860
1743748803,8,0,0,0,3,10,64731
1743748803,0,8,2,0,3,0,64859
1743748804,3,0,0,0,3,10,64746
1743748804,0,3,2,0,3,0,64863
1743748804,8,0,0,0,4,10,64730
1743748804,0,8,2,0,4,0,64857
1743748805,3,0,0,0,4,10,64745
1743748805,0,3,2,0,4,0,64861
1743748805,8,0,0,0,5,10,64729
1743748805,0,8,2,0,5,0,64855
1743748806,3,0,0,0,5,10,64744
1743748806,0,3,2,0,5,0,64859
1743748806,8,0,0,0,6,10,64728
1743748806,0,8,2,0,6,0,64853
1743748807,3,0,0,0,6,10,64743
1743748807,0,3,2,0,6,0,64857
1743748807,8,0,0,0,7,10,64727
1743748807,0,8,2,0,7,0,64851
1743748808,3,0,0,0,7,10,64742
1743748808,0,3,2,0,7,0,64855
1743748808,8,0,0,0,8,10,64726
1743748808,0,8,2,0,8,0,64849
1743748809,3,0,0,0,8,10,64741
1743748809,0,3,2,0,8,0,64853
1743748809,8,0,0,0,9,10,64725
1743748809,0,8,2,0,9,0,64847
1743748810,8,0,0,0,10,10,64724
1743748810,0,8,2,0,10,0,64845
1743748811,8,0,0,0,11,10,64723
1743748811,0,8,2,0,11,0,64843
1743748812,8,0,0,0,12,10,64722
1743748812,0,8,2,0,12,0,64841
1743748813,8,0,0,0,13,10,64721
1743748813,0,8,2,0,13,0,64839
1743748814,8,0,0,0,14,10,64720
1743748814,0,8,2,0,14,0,64837
1743749763,3,0,1,1,1,0,64926
1743749763,0,3,2,0,1,0,64926
1743749764,3,0,1,2,2,4398,56042
1743749764,0,3,1,3,1,2,64921
1743749765,3,0,0,0,3,10,64811
1743749765,0,3,2,0,3,0,64922
1743749766,3,0,0,0,4,10,64808
1743749766,0,3,2,0,4,0,64920
1743749767,3,0,0,0,5,10,64805
1743749767,0,3,2,0,5,0,64918
1743750883,3,0,1,1,1,0,64826
1743750883,0,3,2,0,1,0,64826
1743750884,3,0,1,2,2,65483,31234
1743750884,0,3,1,3,1,2,64820
1743750938,3,0,1,1,1,0,65026
1743750938,0,3,2,0,1,0,65026
1743750939,3,0,1,2,2,2670,65394
1743750939,0,3,1,3,2,2,65020
1743750939,3,0,0,0,3,10,64912
1743750939,0,3,2,0,3,0,65023
1743750940,3,0,0,0,4,10,64909
1743750940,0,3,2,0,4,0,65021
1743750941,3,0,0,0,5,10,64906
1743750941,0,3,2,0,5,0,65019
1743751041,3,0,1,1,1,0,64923
1743751041,0,3,2,0,1,0,64923
1743751042,3,0,1,2,2,4814,56049
1743751042,0,3,1,3,3,2,64916
1743751042,3,0,0,0,3,10,64801
1743751042,0,3,2,0,3,0,64920
1743751043,3,0,0,0,4,10,64798
1743751043,0,3,2,0,4,0,64918
1743751044,3,0,0,0,5,10,64795
1743751044,0,3,2,0,5,0,64916
1743751051,3,0,1,1,1,0,64913
1743751051,0,3,2,0,1,0,64913
1743751052,3,0,1,2,2,65483,56502
1743751052,0,3,1,3,4,2,64904
1743751118,3,0,1,1,1,0,64846
1743751118,0,3,2,0,1,0,64846
1743751119,3,0,1,2,2,7255,5361
1743751119,0,3,1,3,5,2,64836
1743751119,3,0,0,0,3,10,64731
1743751119,0,3,2,0,3,0,64843
1743751120,3,0,1,4,4,0,64838
1743751120,0,3,1,4,6,13,63531
1743751120,3,0,0,0,5,10,64729
1743751120,0,3,2,0,5,0,64840
1743751121,3,0,0,0,6,10,64728
1743751121,0,3,2,0,6,0,64838
1743751122,3,0,0,0,7,10,64727
1743751122,0,3,2,0,7,0,64836
1743751123,3,0,0,0,8,10,64726
1743751123,0,3,2,0,8,0,64834
1743751124,3,0,0,0,9,10,64725
1743751124,0,3,2,0,9,0,64832
1743751125,3,0,0,0,10,10,64724
1743751125,0,3,2,0,10,0,64830
1743751126,3,0,0,0,11,10,64723
1743751126,0,3,2,0,11,0,64828
1743751127,3,0,0,0,12,10,64722
1743751127,0,3,2,0,12,0,64826
1743751166,3,0,1,1,1,0,64798
1743751166,0,3,2,0,1,0,64798
1743751167,3,0,1,2,2,3103,9957
1743751167,0,3,1,3,7,2,64787
1743751167,3,0,0,0,3,10,64679
1743751167,0,3,2,0,3,0,64795
1743751168,3,0,0,0,4,10,64931
1743751168,0,3,2,0,4,0,65048
1743751169,3,0,0,0,5,10,64928
1743751169,0,3,2,0,5,0,65046
1743751171,3,0,1,1,1,0,65048
1743751171,0,3,2,0,1,0,65048
1743751172,3,0,1,2,2,12706,11117
1743751172,0,3,1,3,8,2,65036
1743751172,3,0,0,0,3,10,64927
1743751172,0,3,2,0,3,0,65045
1743751173,3,0,0,0,4,10,64924
1743751173,0,3,2,0,4,0,65043
1743751174,3,0,0,0,5,10,64921
1743751174,0,3,2,0,5,0,65041
1743751176,3,0,1,1,1,0,65043
1743751176,0,3,2,0,1,0,65043
1743751177,3,0,1,2,2,3544,13567
1743751177,0,3,1,3,9,2,65030
1743751177,3,0,0,0,3,10,64926
1743751177,0,3,2,0,3,0,65040
1743751178,3,0,0,0,4,10,64923
1743751178,0,3,2,0,4,0,65038
1743751179,3,0,0,0,5,10,64920
1743751179,0,3,2,0,5,0,65036
1743751182,3,0,1,1,1,0,65037
1743751182,0,3,2,0,1,0,65037
1743751183,3,0,1,2,2,2456,15271
1743751183,0,3,1,3,10,2,65023
1743751183,3,0,0,0,3,10,64924
1743751183,0,3,2,0,3,0,65034
1743751184,3,0,0,0,4,10,64921
1743751184,0,3,2,0,4,0,65032
1743751185,3,0,0,0,5,10,64918
1743751185,0,3,2,0,5,0,65030
1743751187,3,0,1,1,1,0,65032
1743751187,0,3,2,0,1,0,65032
1743751188,3,0,1,2,2,26190,59107
1743751188,0,3,1,3,11,2,65017
1743751188,3,0,0,0,3,10,64908
1743751188,0,3,2,0,3,0,65029
1743751189,3,0,0,0,4,10,64905
1743751189,0,3,2,0,4,0,65027
1743751190,3,0,0,0,5,10,64902
1743751190,0,3,2,0,5,0,65025
1743751193,3,0,1,1,1,0,65026
1743751193,0,3,2,0,1,0,65026
1743751194,3,0,1,2,2,13205,18664
1743751194,0,3,1,3,12,2,65010
1743751194,3,0,0,0,3,10,64914
1743751194,0,3,2,0,3,0,65023
1743751195,3,0,0,0,4,10,64911
1743751195,0,3,2,0,4,0,65021
1743751196,3,0,0,0,5,10,64908
1743751196,0,3,2,0,5,0,65019
1743751198,3,0,1,1,1,0,65021
1743751198,0,3,2,0,1,0,65021
1743751199,3,0,1,2,2,26136,52687
1743751199,0,3,1,3,13,2,65003
1743751199,3,0,0,0,3,10,64899
1743751199,0,3,2,0,3,0,65018
1743751200,3,0,1,4,4,0,65013
1743751200,0,3,1,4,14,13,63698
1743751200,3,0,0,0,5,10,64897
1743751200,0,3,2,0,5,0,65015
1743751201,3,0,0,0,6,10,64896
1743751201,0,3,2,0,6,0,65013
1743751202,3,0,0,0,7,10,64895
1743751202,0,3,2,0,7,0,65011
1743751203,3,0,0,0,8,10,64894
1743751203,0,3,2,0,8,0,65009
1743751204,3,0,0,0,9,10,64893
1743751204,0,3,2,0,9,0,65007
1743751228,3,0,1,1,1,0,64991
1743751228,0,3,2,0,1,0,64991
1743751229,3,0,1,2,2,17211,36686
1743751229,0,3,1,3,15,2,64972
1743751229,3,0,0,0,3,10,64878
1743751229,0,3,2,0,3,0,64988
1743751230,3,0,0,0,4,10,64875
1743751230,0,3,2,0,4,0,64986
1743751231,3,0,0,0,5,10,64872
1743751231,0,3,2,0,5,0,64984
1743751240,3,0,1,1,1,0,64979
1743751240,0,3,2,0,1,0,64979
1743751241,3,0,1,2,2,29323,40925
1743751241,0,3,1,3,16,2,64958
1743751241,3,0,0,0,3,10,64864
1743751241,0,3,2,0,3,0,64976
1743751242,3,0,1,4,4,0,64971
1743751242,0,3,1,4,17,13,63653
1743751242,3,0,0,0,5,10,64862
1743751242,0,3,2,0,5,0,64973
1743751243,3,0,0,0,6,10,64861
1743751243,0,3,2,0,6,0,64971
1743751244,3,0,0,0,7,10,64860
1743751244,0,3,2,0,7,0,64969
1743751245,3,0,0,0,8,10,64859
1743751245,0,3,2,0,8,0,64967
1743751246,3,0,0,0,9,10,64858
1743751246,0,3,2,0,9,0,64965
1743751247,3,0,0,0,10,10,64857
1743751247,0,3,2,0,10,0,64963
1743751248,3,0,0,0,11,10,64856
1743751248,0,3,2,0,11,0,64961
1743751345,3,0,1,1,1,0,64874
1743751345,0,3,2,0,1,0,64874
1743751346,3,0,1,2,2,49792,2648
1743751346,0,3,1,3,1,2,64868
1743751346,3,0,0,0,3,10,64756
1743751346,0,3,2,0,3,0,64871
1743751347,3,0,1,4,4,0,64866
1743751347,0,3,1,4,2,13,63563
1743751347,3,0,0,0,5,10,64754
1743751347,0,3,2,0,5,0,64868
1743751348,3,0,0,0,6,10,64753
1743751348,0,3,2,0,6,0,64866
1743751349,3,0,0,0,7,10,64752
1743751349,0,3,2,0,7,0,64864
1743751350,3,0,0,0,8,10,64751
1743751350,0,3,2,0,8,0,64862
1743751351,3,0,0,0,9,10,64750
1743751351,0,3,2,0,9,0,64860
1743751352,3,0,0,0,10,10,64749
1743751352,0,3,2,0,10,0,64858
1743751353,3,0,0,0,11,10,64748
1743751353,0,3,2,0,11,0,64856
1743751354,3,0,0,0,12,10,64747
1743751354,0,3,2,0,12,0,64854
1743751355,3,0,0,0,13,10,64746
1743751355,0,3,2,0,13,0,64852
1743751356,3,0,0,0,14,10,64745
1743751356,0,3,2,0,14,0,64850
1743751357,3,0,0,0,15,10,64744
1743751357,0,3,2,0,15,0,64848
1743751358,3,0,0,0,16,10,64743
1743751358,0,3,2,0,16,0,64846
1743751359,3,0,0,0,17,10,64742
1743751359,0,3,2,0,17,0,64844
1743751360,3,0,0,0,18,10,64741
1743751360,0,3,2,0,18,0,64842
1743751361,3,0,0,0,19,10,64740
1743751361,0,3,2,0,19,0,64840
1743751362,3,0,0,0,20,10,64739
1743751362,0,3,2,0,20,0,64838
